DBMS,Rank_Sep-2025,Rank_Aug-2025,Rank_Sep-2024,Database Model,Score_Sep-2025,Score_Aug-2025,Score_Sep-2024,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
LeanXcale,302.0,298.0,286.0,Multi-model,0.23,0.00,-0.06,https://db-engines.com/en/system/LeanXcale,"Key-value store,Relational DBMS",LeanXcale,A highly scalable full ACID SQL database with fast NoSQL data ingestion and GIS capabilities,2015.0,,commercial,,no
4store,303.0,294.0,245.0,RDF,0.23,-0.02,-0.30,https://db-engines.com/en/system/4store,,,,2009.0,,Open Source,GPLv3,no
FeatureBase,304.0,295.0,296.0,Relational,0.22,-0.02,-0.01,https://db-engines.com/en/system/FeatureBase,,Molecula and Pilosa Open Source Contributors,"Real-time database platform that powers real-time analytics and machine learning applications by simultaneously executing low-latency, high-throughput, and highly concurrent workloads.",2017.0,"2022, May 2022",commercial,,no
Faircom DB,305.0,301.0,314.0,Multi-model,0.22,-0.01,+0.04,https://db-engines.com/en/system/Faircom+DB,"Key-value store,Relational DBMS",FairCom Corporation,Native high-speed multi-model DBMS for relational and key-value store data simultaneously accessible through SQL and NoSQL APIs.,1979.0,"V13, July 2024",commercial,"Restricted, free version available",no
FalkorDB,306.0,308.0,356.0,Graph,0.22,+0.02,+0.17,https://db-engines.com/en/system/FalkorDB,,FalkorDB Ltd,"A low latency Graph Database built for real-time graph query, knowledge retrieval and GraphRAG.",2023.0,,Open Source (SSPLv1),,no (FalkorDB is available as Falkor Cloud)
Actian FastObjects,307.0,304.0,298.0,Object oriented,0.22,+0.00,-0.02,https://db-engines.com/en/system/Actian+FastObjects,,Actian,,,,commercial,,no
NEventStore,308.0,326.0,319.0,Event,0.21,+0.06,+0.05,https://db-engines.com/en/system/NEventStore,,,A persistence agnostic Event Store for .NET,2011.0,,Open Source,MIT-License,no
XTDB,309.0,306.0,330.0,Document,0.21,+0.01,+0.08,https://db-engines.com/en/system/XTDB,,Juxt Ltd.,A general purpose database with bitemporal SQL and Datalog and graph queries,2019.0,"1.19, September 2021",Open Source,MIT License,no
Tajo,310.0,316.0,267.0,Relational,0.21,+0.04,-0.19,https://db-engines.com/en/system/Tajo,,Apache Software Foundation,SQL on Hadoop,2012.0,,Open Source,Apache Version 2,no
Mimer SQL,311.0,303.0,297.0,Relational,0.21,-0.01,-0.03,https://db-engines.com/en/system/Mimer+SQL,,,,1977.0,"11.0.8D, May 2024",commercial,,no
Tibco ComputeDB,312.0,322.0,312.0,Relational,0.2,+0.05,+0.02,https://db-engines.com/en/system/Tibco+ComputeDB,,Tibco,Distributed in-memory data store for real-time operational analytics based on Apache Spark,2015.0,,Open Source,Apache 2.0,no
Redland,313.0,305.0,290.0,RDF,0.19,-0.02,-0.09,https://db-engines.com/en/system/Redland,,,A set of free software C libraries that provide support for the Resource Description Framework (RDF),2000.0,,Open Source,"Multi License (LGPL, GPLv2, Apache V2)",no
Ultipa,314.0,329.0,338.0,Graph,0.18,+0.04,+0.07,https://db-engines.com/en/system/Ultipa,,Ultipa,"High performance,Graph DBMS,supporting HTAP high availability cluster deployment",2019.0,,commercial,,no
Axibase,315.0,311.0,308.0,Time Series,0.18,0.00,-0.03,https://db-engines.com/en/system/Axibase,,Axibase Corporation,Scalable TimeSeries DBMS based on HBase with integrated rule engine and visualization,2013.0,15585,commercial,"Community Edition (single node) is free, Enterprise Edition (distributed) is paid",no
IBM Db2 Event Store,316.0,313.0,315.0,Multi-model,0.18,0.00,+0.00,https://db-engines.com/en/system/IBM+Db2+Event+Store,"Event Store,Time Series DBMS",IBM,Distributed Event Store optimized for Internet of Things use cases,2017.0,2.0,commercial,free developer edition available,no
YottaDB,317.0,312.0,309.0,"Key-value, Multi-model",0.18,0.00,-0.03,https://db-engines.com/en/system/YottaDB,"Key-value store,Relational DBMS","YottaDB, LLC","A fast and solid embedded,Key-value store",2001.0,,Open Source,AGPL 3.0,no
PipelineDB,318.0,309.0,293.0,Relational,0.18,-0.01,-0.07,https://db-engines.com/en/system/PipelineDB,,,"A RDBMS that runs SQL queries continuously on streams, incrementally storing results in tables. Built upon,PostgreSQL,.",2015.0,,Open Source,"BSD, GPL V3",no
ArcadeDB,319.0,340.0,374.0,Multi-model,0.18,+0.07,+0.16,https://db-engines.com/en/system/ArcadeDB,"Document store,Graph DBMS,Key-value store,Time Series DBMS",Arcade Data,"Fast and scalable multi-model DBMS, originally forked from,OrientDB,but most of the code has been rewritten",2021.0,September 2021,Open Source,Apache Version 2.0,no
TransLattice,320.0,315.0,317.0,Relational,0.18,+0.00,+0.00,https://db-engines.com/en/system/TransLattice,,,,2007.0,,commercial,,no
Warp 10,321.0,314.0,351.0,Time Series,0.17,0.00,+0.11,https://db-engines.com/en/system/Warp+10,,SenX,"TimeSeries DBMS specialized on timestamped geo data based on,LevelDB,or HBase",2015.0,,Open Source,Apache License 2.0,no
Apache HugeGraph,322.0,317.0,321.0,Graph,0.17,+0.00,+0.00,https://db-engines.com/en/system/Apache+HugeGraph,,Baidu,"A fast-speed and highly-scalable,Graph DBMS",2018.0,0.9,Open Source,Apache Version 2.0,no
Quasardb,323.0,323.0,332.0,Time Series,0.16,+0.01,+0.03,https://db-engines.com/en/system/Quasardb,,quasardb,"Distributed, high-performance timeseries database",2009.0,"3.14.1, January 2024",commercial,"Free community edition, Non-profit organizations and non-commercial usage are eligible for free licenses",no
Riak TS,324.0,321.0,318.0,Time Series,0.15,0.00,-0.02,https://db-engines.com/en/system/Riak+TS,,"Open Source, formerly Basho Technologies","Riak TS is a distributed NoSQL database optimized for time series data and based on,Riak KV",2015.0,"3.0.0, September 2022",Open Source,,no
BigObject,325.0,324.0,329.0,Relational,0.15,+0.00,+0.02,https://db-engines.com/en/system/BigObject,,"BigObject, Inc.",Analytic DBMS for real-time computations and queries,2015.0,,commercial,free community edition available,no
XtremeData,326.0,328.0,327.0,Relational,0.15,+0.00,+0.01,https://db-engines.com/en/system/XtremeData,,,,,,commercial,limited edition free,no
EsgynDB,327.0,331.0,325.0,Relational,0.14,+0.00,-0.01,https://db-engines.com/en/system/EsgynDB,,Esgyn,"Enterprise-class SQL-on-Hadoop solution, powered by,Apache Trafodion",2015.0,,commercial,,no
AgensGraph,328.0,341.0,320.0,Multi-model,0.14,+0.04,-0.03,https://db-engines.com/en/system/AgensGraph,"Graph DBMS,Relational DBMS",Bitnine Global Inc.,"Multi-model database supporting relational and graph data models and built upon,PostgreSQL",2016.0,"2.1, December 2018",Open Source,Apache License 2.0,no
ElevateDB,329.0,332.0,326.0,Relational,0.14,+0.00,0.00,https://db-engines.com/en/system/ElevateDB,,"Elevate Software, Inc.",RDBMS designed to be included in a pre-packaged database application,2006.0,,commercial,,no
Badger,330.0,320.0,328.0,Key-value,0.13,-0.03,-0.01,https://db-engines.com/en/system/Badger,,DGraph Labs,"An embeddable, persistent, simple and fast,Key-Value Store,, written purely in Go.",2017.0,,Open Source,Apache 2.0,no
Kyoto Tycoon,331.0,339.0,341.0,Key-value,0.12,+0.01,+0.03,https://db-engines.com/en/system/Kyoto+Tycoon,,,,2009.0,,Open Source,GPL,no
GreptimeDB,332.0,327.0,343.0,Multi-model,0.12,-0.03,+0.03,https://db-engines.com/en/system/GreptimeDB,"Time Series, Observability,Time Series DBMS",Greptime Inc.,"An open-source, cloud-native database purpose-built for real-time observability. Built in Rust and optimized for cloud-native environments, it provides unified storage and processing for metrics, logs, and traces—delivering sub-second insights from edge to cloud—at any scale.",2022.0,,Open Source,Apache Version 2.0,no
chDB,333.0,319.0,358.0,"Relational, Multi-model",0.12,-0.04,+0.07,https://db-engines.com/en/system/chDB,"Relational DBMS,Time Series DBMS",,An embedded SQL OLAP Engine powered by ClickHouse,2023.0,,Open Source,Apache Version 2.0,no
FlockDB,334.0,335.0,307.0,Graph,0.12,-0.01,-0.10,https://db-engines.com/en/system/FlockDB,,Twitter,,2010.0,"1.8.5, February 2012",Open Source,Apache Version 2,no
HyperGraphDB,335.0,333.0,316.0,Graph,0.12,-0.02,-0.06,https://db-engines.com/en/system/HyperGraphDB,,,,2007.0,,Open Source,L-GPL,no
Lovefield,336.0,318.0,306.0,Relational,0.12,-0.04,-0.10,https://db-engines.com/en/system/Lovefield,,Google,"Embeddable,relational database,for web apps written in pure JavaScript",2014.0,"2.1.12, February 2017",Open Source,Apache 2.0,no
GraphBase,337.0,334.0,336.0,Graph,0.11,-0.02,-0.01,https://db-engines.com/en/system/GraphBase,,,,,,commercial,,no
Mulgara,338.0,337.0,344.0,RDF,0.11,-0.01,+0.02,https://db-engines.com/en/system/Mulgara,,,,2006.0,"2.1.13, January 2012",Open Source,Apache Version 2,no
TerminusDB,339.0,338.0,311.0,"Graph, Multi-model",0.11,-0.01,-0.08,https://db-engines.com/en/system/TerminusDB,"Graph DBMS,Document store,RDF store",DataChemist Ltd.,"Scalable,Graph Database,platform making enterprise data available by exploiting inferred entities and relationships",2018.0,"11.0.0, January 2023",Open Source,GPL V3,no
Sparksee,340.0,342.0,340.0,Graph,0.1,+0.00,0.00,https://db-engines.com/en/system/Sparksee,,,,2008.0,"v6.0, 2021",commercial,,no
Speedb,341.0,336.0,310.0,Key-value,0.09,-0.03,-0.11,https://db-engines.com/en/system/Speedb,,Speedb,"An embeddable, high performance key-value store optimized for write-intensive workloads, which can be used as a drop-in replacement for,RocksDB",2020.0,,Open Source,Apache Version 2.0; commercial license available,no
Alibaba Cloud Table Store,342.0,330.0,294.0,Wide column,0.09,-0.05,-0.16,https://db-engines.com/en/system/Alibaba+Cloud+Table+Store,,Alibaba,"A fully managed,Wide Column Store,for large quantities of semi-structured data with real-time access",2016.0,,commercial,,yes
Tokyo Tyrant,343.0,349.0,333.0,Key-value,0.09,+0.02,-0.04,https://db-engines.com/en/system/Tokyo+Tyrant,,,,2007.0,,Open Source,GPL,no
Bangdb,344.0,344.0,346.0,Multi-model,0.07,-0.01,+0.00,https://db-engines.com/en/system/Bangdb,"Document store,Graph DBMS,Time Series DBMS,Spatial DBMS","Sachin Sinha, BangDB","Converged and high performance database for device data, events, time series, document and graph",2012.0,"BangDB 2.0, October 2021",Open Source,BSD 3,no
SiteWhere,345.0,346.0,347.0,Time Series,0.07,+0.00,0.00,https://db-engines.com/en/system/SiteWhere,,SiteWhere,M2M integration platform for persisting/querying time series data,2010.0,,Open Source,Common Public Attribution License Version 1.0,no
Jade,346.0,343.0,324.0,Object oriented,0.07,-0.01,-0.08,https://db-engines.com/en/system/Jade,,,,1996.0,,commercial,,no
ScaleOut StateServer,347.0,347.0,353.0,Key-value,0.07,+0.00,+0.01,https://db-engines.com/en/system/ScaleOut+StateServer,,,,2005.0,,commercial,,no
Exorbyte,348.0,348.0,349.0,Search engine,0.07,+0.00,+0.01,https://db-engines.com/en/system/Exorbyte,,,,2000.0,,commercial,,no
EJDB,349.0,345.0,331.0,Document,0.07,-0.01,-0.06,https://db-engines.com/en/system/EJDB,,Softmotions,Embeddable document-store database library with JSON representation of queries (in MongoDB style),2012.0,,Open Source,GPLv2,no
Blueflood,350.0,352.0,352.0,Time Series,0.06,+0.00,0.00,https://db-engines.com/en/system/Blueflood,,Rackspace,Scalable TimeSeries DBMS based on Cassandra,2013.0,,Open Source,Apache 2.0,no
Elliptics,350.0,352.0,360.0,Key-value,0.06,+0.00,+0.01,https://db-engines.com/en/system/Elliptics,,,Distributed Key-value Store,2009.0,,Open Source,,no
CubicWeb,352.0,350.0,337.0,RDF,0.06,0.00,-0.06,https://db-engines.com/en/system/CubicWeb,,,,2001.0,"3.30.0, March 2021",Open Source,L-GPL,no
Skytable,353.0,381.0,322.0,Key-value,0.05,+0.05,-0.11,https://db-engines.com/en/system/Skytable,,,"A free and open-source,Key-value Store,that aims to provide flexible data modeling at scale. Formerly also know as TerrabaseDB.",2020.0,,Open Source,GNU AGPL 3.0,no
Tigris,354.0,351.0,359.0,Multi-model,0.05,-0.01,+0.01,https://db-engines.com/en/system/Tigris,"Document store,Key-value store,Search engine,Time Series DBMS","Tigris Data, Inc.","A horizontally scalable, ACID transactional, document database available both as a fully managed cloud service and for deployment on self-managed infrastructure",2022.0,,Open Source,Apache Version 2.0,no
SenseiDB,355.0,354.0,354.0,Document,0.05,+0.00,0.00,https://db-engines.com/en/system/SenseiDB,,,,2010.0,,Open Source,Apache Version 2,no
Machbase Neo,356.0,356.0,348.0,Time Series,0.04,+0.01,-0.03,https://db-engines.com/en/system/Machbase+Neo,,Machbase,TimeSeries DBMS for AIoT and BigData,2013.0,"V8.0, August 2023",commercial,free test version available,no
Kuzu,357.0,362.0,380.0,Graph,0.04,+0.01,+0.03,https://db-engines.com/en/system/Kuzu,,,"An embeddable property,Graph DBMS,built for query speed and scalability",2022.0,"0.10.0, May 2025",Open Source,MIT license,no
NosDB,358.0,356.0,363.0,Document,0.04,+0.00,0.00,https://db-engines.com/en/system/NosDB,,Alachisoft,"Scalable JSON based,document store,for .NET",2016.0,,Open Source,Professional and Enterprise Versions available,no
STSdb,358.0,360.0,365.0,Key-value,0.04,+0.01,+0.01,https://db-engines.com/en/system/STSdb,,STS Soft SC,Key-Value Store with special method for indexing,2011.0,"4.0.8, September 2015",Open Source,"GPLv2, commercial license available",no
WakandaDB,360.0,359.0,364.0,Object oriented,0.03,+0.00,0.00,https://db-engines.com/en/system/WakandaDB,,Wakanda SAS,WakandaDB is embedded in a server that provides a REST API and a server-side javascript engine to access data,2012.0,"2.7.0 (April 29, 2019), April 2019",Open Source,"AGPLv3, extended commercial license available",no
JethroData,361.0,360.0,365.0,Relational,0.03,+0.00,0.00,https://db-engines.com/en/system/JethroData,,JethroData,SQL Query Engine for Hadoop,2013.0,,commercial,,no
TinkerGraph,362.0,365.0,345.0,Graph,0.03,+0.01,-0.05,https://db-engines.com/en/system/TinkerGraph,,,"A lightweight, in-memory graph engine that serves as a reference implementation of the TinkerPop3 API",2009.0,,Open Source,Apache 2.0,no
Heroic,363.0,363.0,335.0,Time Series,0.02,+0.00,-0.10,https://db-engines.com/en/system/Heroic,,Spotify,"Time Series DBMS built at Spotify based on Cassandra or,Google Cloud Bigtable,, and,ElasticSearch",2014.0,,Open Source,Apache 2.0,no
Hawkular Metrics,364.0,364.0,377.0,Time Series,0.02,+0.00,+0.01,https://db-engines.com/en/system/Hawkular+Metrics,,Community supported by Red Hat,Hawkular metrics is the metric storage of the Red Hat sponsored Hawkular monitoring system. It is based on Cassandra.,2014.0,,Open Source,Apache 2.0,no
OpenMLDB,365.0,366.0,339.0,"Time Series, Multi-model",0.02,0.00,-0.09,https://db-engines.com/en/system/OpenMLDB,"Time Series DBMS,Relational DBMS",4 Paradigm Inc.,An open-source machine learning database that provides a feature platform for training and inference,2020.0,2024-2 February 2024,Open Source,,no
Dydra,366.0,367.0,371.0,RDF,0.02,+0.00,0.00,https://db-engines.com/en/system/Dydra,,,,2010.0,,commercial,,no
SmallSQL,367.0,368.0,372.0,Relational,0.02,+0.00,0.00,https://db-engines.com/en/system/SmallSQL,,,,2005.0,,Open Source,L-GPL,no
SparkleDB,368.0,369.0,373.0,RDF,0.02,0.00,0.00,https://db-engines.com/en/system/SparkleDB,,,,2012.0,,commercial,,no
AntDB,369.0,358.0,342.0,Relational,0.02,-0.02,-0.07,https://db-engines.com/en/system/AntDB,,AsiaInfo Technologies Limited,"A scalable, multi-tenant, MPP-architectured,RDBMS,for OLTP and OLAP operations, highly compatible with,Oracle",,,commercial,,no
Acebase,370.0,370.0,375.0,Document,0.01,+0.00,0.00,https://db-engines.com/en/system/Acebase,,,"A fast, low memory, transactional,Document Store,, inspired by,Firebase Realtime Database",2018.0,,Open Source,MIT License,no
Resin Cache,371.0,371.0,376.0,Key-value,0.01,+0.00,0.00,https://db-engines.com/en/system/Resin+Cache,,,Distributed cache as part of an application server,1998.0,"4.0.66, December 2021",Open Source,"GPLv3, extended commercial license available",no
gStore,372.0,374.0,367.0,Multi-model,0.01,+0.00,-0.02,https://db-engines.com/en/system/gStore,"Graph DBMS,RDF store",,"A native,Graph DBMS,to store and maintain very large RDF datasets.",2016.0,"1.2, November 2023",Open Source,BSD,no
SWC-DB,373.0,373.0,378.0,"Wide column, Multi-model",0.01,+0.00,0.00,https://db-engines.com/en/system/SWC-DB,"Wide column store,Time Series DBMS",Alex Kashirin,"A high performance, scalable,Wide Column DBMS",2020.0,"0.5, April 2021",Open Source,GPL V3,no
Eloquera,374.0,375.0,379.0,Object oriented,0.01,+0.00,0.00,https://db-engines.com/en/system/Eloquera,,,,2008.0,6.3.3; January 2014,commercial,free licenses,no
Sadas Engine,375.0,372.0,385.0,Relational,0.01,0.00,+0.01,https://db-engines.com/en/system/Sadas+Engine,,SADAS s.r.l.,SADAS Engine is a columnar DBMS specifically designed for high performance in data warehouse environments,2006.0,8.0,commercial,free trial version available,no
Faircom EDGE,376.0,376.0,370.0,Multi-model,0.01,+0.00,-0.01,https://db-engines.com/en/system/Faircom+EDGE,"Key-value store,Relational DBMS",FairCom Corporation,"FairCom EDGE is an Industry 4.0 solution built to integrate, collect, aggregate and synchronize mission-critical data in edge computing environments",1979.0,"V3, October 2020",commercial,"Restricted, free version available",no
OushuDB,377.0,377.0,357.0,Relational,0.0,+0.00,-0.04,https://db-engines.com/en/system/OushuDB,,Oushu,"A data warehouse powered by,Apache HAWQ,supporting descriptive analysis and advanced machine learning",,"4.0.1, August 2020",commercial,,no
Siaqodb,378.0,378.0,381.0,Object oriented,0.0,+0.00,+0.00,https://db-engines.com/en/system/Siaqodb,,,,,,commercial,,no
LedisDB,379.0,379.0,382.0,Key-value,0.0,+0.00,+0.00,https://db-engines.com/en/system/LedisDB,,,,2014.0,,Open Source,MIT-License,no
SwayDB,380.0,380.0,384.0,Key-value,0.0,+0.00,+0.00,https://db-engines.com/en/system/SwayDB,,Simer Plaha,"An embeddable, non-blocking, type-safe,key-value store,for single or multiple disks and in-memory storage",2018.0,,Open Source,GNU Affero GPL V3.0,no
ActorDB,381.0,381.0,385.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/ActorDB,,,"A distributed, consistent,RDBMS",2014.0,,Open Source,Mozilla Public License 2.0,no
BergDB,381.0,381.0,385.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/BergDB,,,BergDB is a Java/.NET in-process time-key-value store.,2013.0,,Open Source,Gnu Affero General Public License (AGPL),no
BrightstarDB,381.0,355.0,385.0,RDF,0.0,-0.04,±0.00,https://db-engines.com/en/system/BrightstarDB,,,,2012.0,,Open Source,,no
Cachelot.io,381.0,381.0,385.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/Cachelot.io,,,In-memory caching system,2015.0,,Open Source,Simplified BSD License,no
CortexDB,381.0,381.0,385.0,Multi-model,0.0,±0.00,±0.00,https://db-engines.com/en/system/CortexDB,"Document store,Key-value store",,,2014.0,,commercial,,no
CovenantSQL,381.0,381.0,385.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/CovenantSQL,,,"A decentralized blockchain,relational DBMS,, built with,SQLite",2018.0,,Open Source,,no
DaggerDB,381.0,381.0,385.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/DaggerDB,,,Simple olap analytics DBMS built for high performance querying in real time,2014.0,,commercial,,no
DataFS,381.0,381.0,369.0,"Object oriented, Multi-model",0.0,±0.00,-0.02,https://db-engines.com/en/system/DataFS,"Object oriented DBMS,Graph DBMS",Mobiland AG,All data is stored inside objects which are linked by so-called link attributes. Objects consist of classes which can be extended and de-extended at runtime. Graphs can be defined with a struct.,2018.0,"1.1.263, October 2022",commercial,,no
Edge Intelligence,381.0,381.0,385.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/Edge+Intelligence,,Adapdix,A Big Data Analytics Platform,2012.0,,commercial,,no
EdgelessDB,381.0,381.0,385.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/EdgelessDB,,Edgeless Systems,"A,MariaDB,-based, confidential,RDBMS,that runs entirely inside runtime-encrypted Intel SGX enclaves",2021.0,,Open Source,GPL V2,no
Galaxybase,381.0,381.0,385.0,Graph,0.0,±0.00,±0.00,https://db-engines.com/en/system/Galaxybase,,"Chuanglin(Createlink) Technology Co., Ltd 浙江创邻科技有限公司","Scalable, ACID-compliant native distributed parallel graph platform",2017.0,"Nov 20, November 2021",commercial,,no
H2GIS,381.0,381.0,385.0,"Spatial, Multi-model",0.0,±0.00,±0.00,https://db-engines.com/en/system/H2GIS,"Spatial DBMS,Relational DBMS",CNRS,"Spatial extension of,H2",2013.0,,Open Source,LGPL 3.0,no
Helium,381.0,381.0,385.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/Helium,,Levyx Inc.,Cost efficient key-value store,2013.0,,commercial,,no
HGraphDB,381.0,381.0,385.0,Graph,0.0,±0.00,±0.00,https://db-engines.com/en/system/HGraphDB,,,HGraphDB is a client layer for using HBase as a graph database by implementing the Tinkerpop 3 interfaces,2016.0,,Open Source,Apache 2.0,no
HyperLevelDB,381.0,381.0,385.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/HyperLevelDB,,,"A fork of Google's,LevelDB",2010.0,,Open Source,,no
iBoxDB,381.0,381.0,385.0,Document,0.0,±0.00,±0.00,https://db-engines.com/en/system/iBoxDB,,,Transactional embedded database for desktop and mobile applications.,2013.0,,Open Source,,no
Indica,381.0,381.0,385.0,Search engine,0.0,±0.00,±0.00,https://db-engines.com/en/system/Indica,,,Enterprise Search Engine,2014.0,,commercial,parts of it are open source,no
InfinityDB,381.0,381.0,383.0,Key-value,0.0,±0.00,0.00,https://db-engines.com/en/system/InfinityDB,,Boiler Bay Inc.,"A Java embedded,Key-Value Store,which extends the Java Map interface",2002.0,4.0,commercial,,no
JaguarDB,381.0,381.0,385.0,Multi-model,0.0,±0.00,±0.00,https://db-engines.com/en/system/JaguarDB,"Key-value store,Vector DBMS","DataJaguar, Inc.","Performant, highly scalable DBMS for AI and IoT applications",2015.0,3.3 July 2023,Open Source,GPL V3.0,no
JasDB,381.0,381.0,385.0,Document,0.0,±0.00,±0.00,https://db-engines.com/en/system/JasDB,,,,2014.0,,Open Source,,no
K-DB,381.0,381.0,385.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/K-DB,,Inspur Group,"Oracle compatible DBMS for Inspur's own K1 mainframe, available in China",,,commercial,,no
Linter,381.0,381.0,368.0,"Relational, Multi-model",0.0,±0.00,-0.03,https://db-engines.com/en/system/Linter,"Relational DBMS,Spatial DBMS",relex.ru,RDBMS for high security requirements,1990.0,,commercial,,no
Newts,381.0,381.0,385.0,Time Series,0.0,±0.00,±0.00,https://db-engines.com/en/system/Newts,,OpenNMS Group,Time Series DBMS based on Cassandra,2014.0,,Open Source,Apache 2.0,no
NSDb,381.0,381.0,385.0,Time Series,0.0,±0.00,±0.00,https://db-engines.com/en/system/NSDb,,,"Scalable, High-performance,Time Series DBMS,designed for Real-time Analytics on top of Kubernetes",2017.0,,Open Source,Apache Version 2.0,no
openGemini,381.0,381.0,385.0,Time Series,0.0,±0.00,±0.00,https://db-engines.com/en/system/openGemini,,Huawei and openGemini community,"An open source distributed,Time Series DBMS,with high concurrency, high performance, and high scalability",2022.0,"1.1, July 2023",Open Source,Apache Version 2.0,no
OpenTenBase,381.0,381.0,385.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/OpenTenBase,,"OpenAtom Foundation, previously Tencent","An enterprise-level distributed HTAP open source database based on,PostgreSQL",,"2.5, January 2024",Open Source,BSD-3,no
OrigoDB,381.0,381.0,385.0,Multi-model,0.0,±0.00,±0.00,https://db-engines.com/en/system/OrigoDB,"Document store,Object oriented DBMS",Robert Friberg et al,A fully ACID in-memory object graph database,2009.0,,Open Source,,no
ReductStore,381.0,381.0,385.0,Time Series,0.0,±0.00,±0.00,https://db-engines.com/en/system/ReductStore,,ReductStore LLC,"Designed to manage unstructured time-series data efficiently, providing unique features such as storing time-stamped blobs with labels, customizable data retention policies, and a straightforward FIFO quota system.",2023.0,"1.9, March 2024",Open Source,Business Source License 1.1,no
Rizhiyi,381.0,381.0,385.0,"Search engine, Multi-model",0.0,±0.00,±0.00,https://db-engines.com/en/system/Rizhiyi,"Search engine,Time Series DBMS",Rizhiyi,"Used for unified collecting, indexing, and searching of log file data",2014.0,,commercial,,no
searchxml,381.0,381.0,385.0,Multi-model,0.0,±0.00,±0.00,https://db-engines.com/en/system/searchxml,"Native XML DBMS,Search engine",informationpartners gmbh,DBMS for structured and unstructured content wrapped with an application server,2015.0,1.0,commercial,,no
SiriDB,381.0,381.0,385.0,Time Series,0.0,±0.00,±0.00,https://db-engines.com/en/system/SiriDB,,Cesbit,"Open Source,Time Series DBMS",2017.0,,Open Source,MIT License,no
SpaceTime,381.0,381.0,385.0,"Spatial, Multi-model",0.0,±0.00,±0.00,https://db-engines.com/en/system/SpaceTime,"Spatial DBMS,Relational DBMS",Mireo,SpaceTime is a spatio-temporal DBMS with a focus on performance.,2020.0,,commercial,,no
SvectorDB,381.0,381.0,385.0,Vector,0.0,±0.00,±0.00,https://db-engines.com/en/system/SvectorDB,,SvectorDB,Serverless cloud-native vector database,2023.0,,commercial,,yes
TerarkDB,381.0,381.0,385.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/TerarkDB,,"ByteDance, originally Terark","A,key-value store,forked from,RocksDB,with advanced compression algorithms. It can be used standalone or as a storage engine for,MySQL,and,MongoDB",2016.0,,commercial,restricted open source version available,no
Tkrzw,381.0,381.0,385.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/Tkrzw,,Mikio Hirabayashi,"A concept of libraries, allowing an application program to store and query key-value pairs in a file. Successor of,Tokyo Cabinet,and,Kyoto Cabinet",2020.0,"0.9.3, August 2020",Open Source,Apache Version 2.0,no
TomP2P,381.0,381.0,385.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/TomP2P,,,Distributed Key-Value store,2004.0,4.4,Open Source,Apache Version 2,no
Transbase,381.0,381.0,355.0,Relational,0.0,±0.00,-0.05,https://db-engines.com/en/system/Transbase,,Transaction Software GmbH,"A resource-optimized, high-performance, universally applicable RDBMS",1987.0,"Transbase 8.3, 2022",commercial,free development license,no
Transwarp ArgoDB,381.0,381.0,361.0,"Relational, Multi-model",0.0,±0.00,-0.04,https://db-engines.com/en/system/Transwarp+ArgoDB,"Relational DBMS,Search engine",Transwarp,Distributed Analytical Database to replace Hadoop+MPP hybrid architecture,,,commercial,,no
Transwarp Hippo,381.0,381.0,385.0,Vector,0.0,±0.00,±0.00,https://db-engines.com/en/system/Transwarp+Hippo,,,"Cloud-native distributed,Vector DBMS,that supports storage, retrieval, and management of massive vector-based datasets",2023.0,"1.0, May 2023",commercial,,no
Transwarp KunDB,381.0,381.0,362.0,Relational,0.0,±0.00,-0.04,https://db-engines.com/en/system/Transwarp+KunDB,,Transwarp,"OLTP DBMS based on a distributed architecture and highly compatible with,MySQL,and,Oracle",,,commercial,,no
Transwarp StellarDB,381.0,381.0,385.0,Graph,0.0,±0.00,±0.00,https://db-engines.com/en/system/Transwarp+StellarDB,,Transwarp,A distributed graph DBMS built for enterprise-level graph applications,,,commercial,,no
Upscaledb,381.0,381.0,385.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/Upscaledb,,,"An embedded,key-value store,with SQL-style analytical functions",2007.0,,Open Source,Apache Version 2,no
VelocityDB,381.0,381.0,385.0,Multi-model,0.0,±0.00,±0.00,https://db-engines.com/en/system/VelocityDB,"Graph DBMS,Object oriented DBMS",VelocityDB Inc,A .NET Object Database that can be embedded/distributed and extended to a graph data model (VelocityGraph),2011.0,7.x,commercial,,no
