DBMS,Rank_Jul-2024,Rank_Jun-2024,Rank_Jul-2023,Database Model,Score_Jul-2024,Score_Jun-2024,Score_Jul-2023,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only,initial_release_recalc,current_release_recalc,license_recalc,cloud_based_only_recalc
GT.M,186.0,181.0,164.0,Key-value,1.0,-0.09,-0.72,https://db-engines.com/en/system/GT.M,,,,1986.0,"7.0-000, February 2021",commercial,,no,1986,2021,N,N
Meilisearch,187.0,193.0,199.0,Search engine,0.97,-0.03,-0.33,https://db-engines.com/en/system/Meilisearch,,,"A powerful, fast, open-source and highly customizable,Search Engine",2020.0,,Open Source,MIT License,no,2020,,Y,N
Dolt,188.0,191.0,189.0,"Relational, Multi-model",0.95,-0.07,-0.44,https://db-engines.com/en/system/Dolt,"Relational DBMS,Document store",DoltHub Inc,"A,MySQL,compatible,DBMS,with Git-like versioning of data and schema",2018.0,,Open Source,Apache Version 2.0,no,2018,,Y,N
M3DB,189.0,199.0,217.0,Time Series,0.95,+0.03,-0.14,https://db-engines.com/en/system/M3DB,,,A distributed time series database created for Uber,,,Open Source,Apache version 2,no,,,Y,N
Cubrid,190.0,187.0,169.0,Relational,0.95,-0.09,-0.72,https://db-engines.com/en/system/Cubrid,,"CUBRID Corporation, CUBRID Foundation",CUBRID is an open-source SQL-based relational database management system with object extensions for OLTP,2008.0,"11.0, January 2021",Open Source,Apache Version 2.0,no,2008,2021,Y,N
GigaSpaces,191.0,188.0,175.0,Multi-model,0.94,-0.09,-0.61,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine",Gigaspaces Technologies,"High performance in-memory data grid platform, powering three products: Smart Cache, Smart ODS (Operational Data Store), Smart Augmented Transactions",2000.0,"15.5, September 2020",Open Source,Apache Version 2; Commercial licenses available,no,2000,2020,Y,N
Amazon Keyspaces,192.0,202.0,218.0,Wide column,0.92,+0.01,-0.11,https://db-engines.com/en/system/Amazon+Keyspaces,,Amazon,"A scalable, highly available Cassandra–compatible database service",2019.0,,commercial,,yes,2019,,N,Y
NCache,193.0,195.0,190.0,"Key-value, Multi-model",0.91,-0.05,-0.47,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine",Alachisoft,"Open-Source and Enterprise in-memory,Key-Value Store",2005.0,"5.3.3, April 2024",Open Source,Enterprise Edition available,no,2005,2024,Y,N
IDMS,194.0,200.0,207.0,Navigational,0.91,0.00,-0.31,https://db-engines.com/en/system/IDMS,,Broadcom (formerly CA Technologies),,1973.0,18.5,commercial,,no,1973,,N,N
Infobright,195.0,192.0,172.0,Relational,0.91,-0.11,-0.70,https://db-engines.com/en/system/Infobright,,Ignite Technologies Inc.; formerly InfoBright Inc.,High performant column-oriented DBMS for analytic workloads using MySQL or PostgreSQL as a frontend,2005.0,,commercial,The open source (GPLv2) version did not support inserts/updates/deletes and was discontinued with July 2016,no,2005,,N,N
Altibase,196.0,189.0,179.0,Relational,0.91,-0.12,-0.63,https://db-engines.com/en/system/Altibase,,Altibase,"An enterprise grade, high-performance,RDBMS",1999.0,"v7.3, 2023, August 2023",commercial,Open source edition discontinued with March 2023,no,1999,2023,N,N
Rockset,197.0,212.0,233.0,"Document, Multi-model",0.89,+0.07,+0.00,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine",Rockset,"A scalable, reliable search and analytics service in the cloud, built on,RocksDB",2019.0,,commercial,,yes,2019,,N,Y
AllegroGraph,198.0,179.0,202.0,Multi-model,0.89,-0.24,-0.38,https://db-engines.com/en/system/AllegroGraph,"Document store,Graph DBMS,RDF store,Vector DBMS,Spatial DBMS",Franz Inc.,"High performance, persistent RDF store with additional support for Graph DBMS",2004.0,"8.0, December 2023",commercial,Limited community edition free,no,2004,2023,N,N
Alibaba Cloud AnalyticDB for MySQL,199.0,201.0,260.0,"Relational, Multi-model",0.88,-0.03,+0.16,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+MySQL,"Relational DBMS,Document store",Alibaba,A real-time data warehousing service that can process petabytes of data with high concurrency and low latency. It is fully compatible with the MySQL protocol.,,,commercial,,yes,,,N,Y
MatrixOne,200.0,204.0,186.0,Relational,0.87,0.00,-0.56,https://db-engines.com/en/system/MatrixOne,,,"A Hyperconverged Cloud & Edge Native DBMS, supporting transactional, analytical, and streaming workloads with a simplified and distributed database engine, across multiple data centers, clouds, edges and other heterogenous infrastructures.",2021.0,,Open Source,Apache Version 2.0,no,2021,,Y,N
NuoDB,201.0,197.0,197.0,Relational,0.87,-0.07,-0.47,https://db-engines.com/en/system/NuoDB,,Dassault Systèmes,NuoDB is a webscale distributed database that supports SQL and ACID transactions,2013.0,,commercial,limited edition free,no,2013,,N,N
HPE Ezmeral Data Fabric,202.0,206.0,195.0,Multi-model,0.86,+0.01,-0.49,https://db-engines.com/en/system/HPE+Ezmeral+Data+Fabric,"Document store,Wide column store","HPE, MapR Technologies, Inc","A unified data platform to ingest, store, manage, process, apply, and analyze all data types from any data source, and a variety of different ingestion mechanisms at an exabyte scale",2009.0,,commercial,,no,2009,,N,N
ZODB,203.0,210.0,196.0,Key-value,0.84,+0.00,-0.50,https://db-engines.com/en/system/ZODB,,,Native object database for Python,2009.0,"5.8.1, July 2023",Open Source,,no,2009,2023,Y,N
TDSQL for MySQL,204.0,207.0,213.0,"Relational, Multi-model",0.84,-0.01,-0.29,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS",Tencent,"A high-performance distributed database management system with features such as automatic sharding, intelligent operation and maintenance, elastic scalability without downtime, and enterprise-grade security. It is highly compatible with MySQL.",2013.0,,commercial,,yes,2013,,N,Y
Vitess,205.0,203.0,208.0,"Relational, Multi-model",0.83,-0.04,-0.38,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS","The Linux Foundation, PlanetScale","Scalable, distributed, cloud-native DBMS, extending,MySQL",2013.0,"15.0.2, December 2022",Open Source,"Apache Version 2.0, commercial licenses available",no,2013,2022,Y,N
Model 204,206.0,211.0,192.0,Multivalue,0.83,-0.01,-0.55,https://db-engines.com/en/system/Model+204,,,,1972.0,,commercial,,no,1972,,N,N
Yellowbrick,207.0,196.0,227.0,Relational,0.82,-0.14,-0.15,https://db-engines.com/en/system/Yellowbrick,,Yellowbrick Data,Data Warehouse appliance and cloud service,,,commercial,,no,,,N,N
GeoMesa,208.0,205.0,221.0,Spatial,0.8,-0.06,-0.22,https://db-engines.com/en/system/GeoMesa,,CCRi and others,GeoMesa is a distributed spatio-temporal DBMS based on various systems as storage layer.,2014.0,"5.0.1, July 2024",Open Source,Apache License 2.0,no,2014,2024,Y,N
BigchainDB,209.0,208.0,225.0,Document,0.79,-0.05,-0.19,https://db-engines.com/en/system/BigchainDB,,,"BigchainDB is scalable blockchain database offering decentralization, immutability and native assets",2016.0,,Open Source,AGPL v3,no,2016,,Y,N
Northgate Reality,210.0,194.0,188.0,Multivalue,0.79,-0.19,-0.60,https://db-engines.com/en/system/Northgate+Reality,,,,1973.0,,commercial,,no,1973,,N,N
Alibaba Cloud MaxCompute,211.0,209.0,251.0,Relational,0.78,-0.07,-0.01,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,,Alibaba,"MaxCompute (previously known as ODPS) is a general purpose, fully managed, multi-tenancy data processing platform for large-scale data warehousing",2016.0,,commercial,,yes,2016,,N,Y
Datacom/DB,212.0,217.0,232.0,Relational,0.78,+0.01,-0.13,https://db-engines.com/en/system/Datacom%2FDB,,Broadcom (formerly CA),"RDBMS,for mainframes",1972.0,,commercial,,no,1972,,N,N
SciDB,213.0,221.0,223.0,Multivalue,0.77,+0.02,-0.23,https://db-engines.com/en/system/SciDB,,Paradigm4,DBMS built upon a multi-dimensional array data model,2008.0,,Open Source,,no,2008,,Y,N
Actian Vector,214.0,218.0,191.0,Relational,0.77,+0.01,-0.61,https://db-engines.com/en/system/Actian+Vector,,,,,"Vector 5.0, July 2016",commercial,,no,,2016,N,N
Alibaba Cloud PolarDB,215.0,235.0,298.0,Relational,0.76,+0.10,+0.29,https://db-engines.com/en/system/Alibaba+Cloud+PolarDB,,Alibaba,"A cloud-native relational database compatible with MySQL, PostgreSQL, and Oracle. Designed for business critical applications.",,,commercial,,yes,,,N,Y
BoltDB,216.0,215.0,229.0,Key-value,0.76,-0.04,-0.18,https://db-engines.com/en/system/BoltDB,,,"An embedded,key-value store,for Go.",2013.0,,Open Source,MIT License,no,2013,,Y,N
Xapian,217.0,223.0,198.0,Search engine,0.75,+0.01,-0.56,https://db-engines.com/en/system/Xapian,,,Open Source search engine library,1986.0,"1.4.25, March 2024",Open Source,GPLv2,no,1986,2024,Y,N
StarRocks,218.0,198.0,219.0,Relational,0.75,-0.18,-0.28,https://db-engines.com/en/system/StarRocks,,The Linux Foundation,"An open source, high-performance columnar analytical database that enables real-time, multi-dimensional, and highly concurrent data analytics",2020.0,"3.3, June 2024",Open Source,Apache Version 2.0,no,2020,2024,Y,N
eXist-db,219.0,216.0,216.0,Native XML,0.75,-0.03,-0.35,https://db-engines.com/en/system/eXist-db,,,,2000.0,,Open Source,L-GPL,no,2000,,Y,N
Alibaba Cloud AnalyticDB for PostgreSQL,220.0,220.0,287.0,Relational,0.73,-0.02,+0.19,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+PostgreSQL,,Alibaba / Pivotal Software Inc. / PostgreSQL Global Development Group,"An online MPP (Massively Parallel Processing) data warehousing service based on,Greenplum",2016.0,,commercial,,yes,2016,,N,Y
Blazegraph,221.0,213.0,222.0,Multi-model,0.73,-0.07,-0.27,https://db-engines.com/en/system/Blazegraph,"Graph DBMS,RDF store",Blazegraph,"High-performance graph database supporting Semantic Web (RDF/SPARQL) and Graph Database (tinkerpop3, blueprints, vertex-centric) APIs with scale-out and High Availability.",2006.0,"2.1.5, March 2019",Open Source,extended commercial license available,no,2006,2019,Y,N
CrateDB,222.0,227.0,231.0,Multi-model,0.72,+0.01,-0.19,https://db-engines.com/en/system/CrateDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Relational DBMS",Crate,Distributed Database based on Lucene,2013.0,,Open Source,,no,2013,,Y,N
WebSphere eXtreme Scale,223.0,231.0,210.0,Key-value,0.7,+0.03,-0.46,https://db-engines.com/en/system/WebSphere+eXtreme+Scale,,,An elastic highly scalable in-memory data grid,2009.0,,commercial,,no,2009,,N,N
Typesense,224.0,219.0,234.0,Search engine,0.7,-0.06,-0.17,https://db-engines.com/en/system/Typesense,,,"A typo-tolerant, in-memory search engine optimized for instant search-as-you-type experiences and developer productivity",2015.0,,Open Source,GPL V3,no,2015,,Y,N
Objectivity/DB,225.0,225.0,253.0,Object oriented,0.68,-0.04,-0.08,https://db-engines.com/en/system/Objectivity%2FDB,,,,1990.0,,commercial,,no,1990,,N,N
1010data,226.0,226.0,204.0,Relational,0.67,-0.04,-0.57,https://db-engines.com/en/system/1010data,,,,2000.0,,commercial,,no,2000,,N,N
solidDB,227.0,228.0,205.0,Relational,0.67,-0.04,-0.56,https://db-engines.com/en/system/solidDB,,"Unicom Systems, Inc; IBM",,1992.0,,commercial,,no,1992,,N,N
RDF4J,228.0,222.0,215.0,RDF,0.65,-0.09,-0.45,https://db-engines.com/en/system/RDF4J,,"Since 2016 officially forked into an Eclipse project, former developer was Aduna Software.","RDF4J is a Java framework for processing RDF data, supporting both memory-based and a disk-based storage.",2004.0,,Open Source,"Eclipse Distribution License (EDL), v1.0.",no,2004,,Y,N
DBISAM,229.0,236.0,214.0,Relational,0.65,+0.00,-0.47,https://db-engines.com/en/system/DBISAM,,"Elevate Software, Inc.",RDBMS mainly geared to Delphi and C++Builder application developers,1998.0,,commercial,,no,1998,,N,N
SQream DB,230.0,224.0,245.0,Relational,0.64,-0.10,-0.17,https://db-engines.com/en/system/SQream+DB,,SQream Technologies,"a GPU-based, columnar RDBMS for big data analytics workloads",2017.0,"2022.1.6, December 2022",commercial,,no,2017,2022,N,N
Vespa,231.0,242.0,285.0,Multi-model,0.64,+0.02,+0.09,https://db-engines.com/en/system/Vespa,"Search engine,Vector DBMS",Yahoo,"Vespa is a search engine and vector DBMS. It supports vector search (ANN), lexical search, and search in structured data.",,,Open Source,Apache-2.0 license,no,,,Y,N
Graph Engine,232.0,232.0,258.0,Multi-model,0.64,-0.04,-0.11,https://db-engines.com/en/system/Graph+Engine,"Graph DBMS,Key-value store",Microsoft,"A distributed in-memory data processing engine, underpinned by a strongly-typed RAM store and a general distributed computation engine",2010.0,,Open Source,MIT License,no,2010,,Y,N
eXtremeDB,233.0,214.0,249.0,Multi-model,0.64,-0.17,-0.15,https://db-engines.com/en/system/eXtremeDB,"Relational DBMS,Time Series DBMS",McObject,"Natively in-memory DBMS with options for persistency, high-availability and clustering",2001.0,"8.2, 2021",commercial,,no,2001,2021,N,N
FrontBase,234.0,240.0,239.0,Relational,0.64,+0.01,-0.21,https://db-engines.com/en/system/FrontBase,,,,1993.0,"8.2.6, December 2015",commercial,free licenses,no,1993,2015,N,N
ObjectDB,235.0,239.0,230.0,Object oriented,0.64,0.00,-0.28,https://db-engines.com/en/system/ObjectDB,,,,2010.0,"2.9.0, June 2024",commercial,,no,2010,2024,N,N
TypeDB,236.0,230.0,212.0,Multi-model,0.63,-0.07,-0.52,https://db-engines.com/en/system/TypeDB,"Graph DBMS,Object oriented DBMS,Relational DBMS",Vaticle,"TypeDB provides developers with an expressive, customizable type system to manage their data using an award-winning query language, TypeQL, while building on a high-performance, distributed architecture.",2016.0,"2.28.3, June 2024",Open Source,"GPL Version 3, commercial licenses available",no,2016,2024,Y,N
KeyDB,237.0,229.0,261.0,Key-value,0.63,-0.08,-0.09,https://db-engines.com/en/system/KeyDB,,EQ Alpha Technology Ltd.,"An ultra-fast, open source,Key-value store,fully compatible with Redis API, modules, and protocols",2019.0,,Open Source,BSD-3,no,2019,,Y,N
KairosDB,238.0,233.0,241.0,Time Series,0.6,-0.07,-0.24,https://db-engines.com/en/system/KairosDB,,,"Distributed Time Series DBMS based on Cassandra or,H2",2013.0,"1.2.2, November 2018",Open Source,Apache 2.0,no,2013,2018,Y,N
4store,239.0,294.0,267.0,RDF,0.58,+0.27,-0.11,https://db-engines.com/en/system/4store,,,,2009.0,,Open Source,GPLv3,no,2009,,Y,N
RisingWave,240.0,238.0,,Relational,0.57,-0.07,,https://db-engines.com/en/system/RisingWave,,RisingWave Labs,"A distributed,RDBMS,for stream processing, wire-compatible with,PostgreSQL",2022.0,"1.2, September 2023",Open Source,Apache Version 2.0,no,2022,2023,Y,N
NexusDB,241.0,250.0,228.0,Relational,0.57,+0.02,-0.39,https://db-engines.com/en/system/NexusDB,,,,2003.0,"4.50.26, February 2021",commercial,,no,2003,2021,N,N
HarperDB,242.0,244.0,274.0,Document,0.56,-0.05,-0.06,https://db-engines.com/en/system/HarperDB,,HarperDB,"HarperDB takes the ""stack"" out of ""tech stack"" by combining an ultra-fast document-style data store, in-memory cache, real-time message broker, and your application components into a single distributed technology.",2017.0,"3.1, August 2021",commercial,free community edition available,no,2017,2021,N,N
GemStone/S,243.0,249.0,247.0,Object oriented,0.55,0.00,-0.26,https://db-engines.com/en/system/GemStone%2FS,,,,1986.0,64 Bit 3.3.3,commercial,,no,1986,,N,N
SQL.JS,244.0,241.0,180.0,Relational,0.54,-0.09,-0.97,https://db-engines.com/en/system/SQL.JS,,Alon Zakai,"Port of,SQLite,to JavaScript",2012.0,,Open Source,,no,2012,,Y,N
R:BASE,245.0,253.0,252.0,Relational,0.54,+0.00,-0.23,https://db-engines.com/en/system/R%3ABASE,,,,1981.0,,commercial,,no,1981,,N,N
Splice Machine,246.0,252.0,244.0,Relational,0.54,0.00,-0.28,https://db-engines.com/en/system/Splice+Machine,,Splice Machine,"Open-Source SQL RDBMS for Operational and Analytical use cases with native Machine Learning, powered by Hadoop and Spark",2014.0,"3.1, March 2021",Open Source,"AGPL 3.0, commercial license available",no,2014,2021,Y,N
Hibari,247.0,245.0,206.0,Key-value,0.53,-0.07,-0.69,https://db-engines.com/en/system/Hibari,,,,2005.0,,Open Source,Apache Version 2,no,2005,,Y,N
Perst,248.0,237.0,182.0,Object oriented,0.53,-0.12,-0.96,https://db-engines.com/en/system/Perst,,,,2003.0,,Open Source,commercial license available,no,2003,,Y,N
MapDB,249.0,255.0,220.0,Key-value,0.53,+0.01,-0.50,https://db-engines.com/en/system/MapDB,,,,2002.0,,Open Source,Apache Version 2,no,2002,,Y,N
Scalaris,250.0,251.0,262.0,Key-value,0.53,-0.01,-0.19,https://db-engines.com/en/system/Scalaris,,,,2010.0,,Open Source,Apache Version 2,no,2010,,Y,N
Percona Server for MongoDB,251.0,246.0,257.0,Document,0.52,-0.08,-0.23,https://db-engines.com/en/system/Percona+Server+for+MongoDB,,Percona,A drop-in replacement for MongoDB Community Edition with enterprise-grade features.,2015.0,"3.4.10-2.10, November 2017",Open Source,GPL Version 2,no,2015,2017,Y,N
ScaleArc,252.0,264.0,224.0,Relational,0.51,+0.05,-0.48,https://db-engines.com/en/system/ScaleArc,,Ignite,"A layer on top of standard MySQL, SQL Server or Oracle instances for data distribution and sharding",2009.0,,commercial,limited edition free,no,2009,,N,N
Kinetica,253.0,234.0,235.0,"Relational, Multi-model",0.51,-0.15,-0.36,https://db-engines.com/en/system/Kinetica,"Relational DBMS,Spatial DBMS,Time Series DBMS",Kinetica,Fully vectorized database across both GPUs and CPUs,2012.0,"7.1, August 2021",commercial,,no,2012,2021,N,N
atoti,254.0,243.0,240.0,Object oriented,0.5,-0.11,-0.34,https://db-engines.com/en/system/atoti,,ActiveViam,"An in-memory,DBMS,combining transactional and analytical processing to handle the aggregation of ever-changing data.",,,commercial,free versions available,no,,,N,N
Apache Doris,255.0,247.0,272.0,Relational,0.5,-0.10,-0.15,https://db-engines.com/en/system/Apache+Doris,,"Apache Software Foundation, originally contributed from Baidu","An MPP-based analytics DBMS embracing the,MySQL,protocol",2017.0,"1.2.2, February 2023",Open Source,Apache Version 2.0,no,2017,2023,Y,N
Tajo,256.0,271.0,279.0,Relational,0.47,+0.06,-0.10,https://db-engines.com/en/system/Tajo,,Apache Software Foundation,SQL on Hadoop,2012.0,,Open Source,Apache Version 2,no,2012,,Y,N
VistaDB,257.0,262.0,256.0,Relational,0.47,0.00,-0.28,https://db-engines.com/en/system/VistaDB,,Gibraltar Software,,2008.0,,commercial,,no,2008,,N,N
Postgres-XL,258.0,254.0,266.0,"Relational, Multi-model",0.46,-0.07,-0.23,https://db-engines.com/en/system/Postgres-XL,"Relational DBMS,Document store,Spatial DBMS",,Based on PostgreSQL enhanced with MPP and write-scale-out cluster features,2014.0,"10 R1, October 2018",Open Source,Mozilla public license,no,2014,2018,Y,N
AlaSQL,259.0,256.0,263.0,Multi-model,0.45,-0.06,-0.26,https://db-engines.com/en/system/AlaSQL,"Document store,Relational DBMS",Andrey Gershun & Mathias R. Wulff,JavaScript DBMS library,2014.0,,Open Source,MIT-License,no,2014,,Y,N
Rasdaman,260.0,268.0,246.0,Multivalue,0.43,0.00,-0.38,https://db-engines.com/en/system/Rasdaman,,,Extends standard RDBMS with efficient handling of multi-dimensional arrays,1998.0,"rasdaman v9.8.1, July 2019",Open Source,extended commercial license available,no,1998,2019,Y,N
OpenInsight,261.0,269.0,236.0,Multivalue,0.42,-0.01,-0.45,https://db-engines.com/en/system/OpenInsight,,Revelation Software,Development Environment with included multi-value filing system,1992.0,"10.0.1, April 2018",commercial,,no,1992,2018,N,N
Kyligence Enterprise,262.0,266.0,289.0,Relational,0.42,-0.04,-0.12,https://db-engines.com/en/system/Kyligence+Enterprise,,"Kyligence, Inc.","A distributed analytics engine for big data, built on top of,Apache Kylin",2016.0,,commercial,,no,2016,,N,N
Kingbase,263.0,257.0,259.0,"Relational, Multi-model",0.42,-0.09,-0.31,https://db-engines.com/en/system/Kingbase,"Relational DBMS,Document store,Spatial DBMS",BeiJing KINGBASE Information technologies inc.,"An enterprise-class,RDBMS,compatible with PostgreSQL and Oracle and widely used in China.",1999.0,"V8.0, August 2021",commercial,,no,1999,2021,N,N
Raima Database Manager,264.0,259.0,270.0,Multi-model,0.42,-0.08,-0.24,https://db-engines.com/en/system/Raima+Database+Manager,"Relational DBMS,Time Series DBMS",Raima Inc.,"RDBMS with a small footprint, either embedded into an application or used as a database server",1984.0,"15, June 2021",commercial,,no,1984,2021,N,N
LokiJS,265.0,260.0,264.0,Document,0.41,-0.08,-0.30,https://db-engines.com/en/system/LokiJS,,,In-memory JavaScript DBMS,2014.0,,Open Source,,no,2014,,Y,N
Dragonfly,266.0,261.0,378.0,Key-value,0.41,-0.08,+0.28,https://db-engines.com/en/system/Dragonfly,,DragonflyDB team and community contributors,"A drop-in,Redis,replacement that scales vertically to support millions of operations per second and terabyte sized workloads, all on a single instance",2023.0,"1.0, March 2023",Open Source,BSL 1.1,no,2023,2023,Y,N
CnosDB,267.0,270.0,310.0,Time Series,0.41,-0.01,+0.03,https://db-engines.com/en/system/CnosDB,,,"An open source distributed,Time Series DBMS,with high performance, high compression rate and high ease of use",2022.0,"2.2.0, February 2023",Open Source,AGPL 3.0,no,2022,2023,Y,N
Strabon,268.0,272.0,271.0,RDF,0.41,+0.01,-0.25,https://db-engines.com/en/system/Strabon,,,,2011.0,,Open Source,Mozilla public license,no,2011,,Y,N
Sequoiadb,269.0,258.0,276.0,Multi-model,0.4,-0.10,-0.21,https://db-engines.com/en/system/Sequoiadb,"Document store,Relational DBMS",Sequoiadb Ltd.,NewSQL database with distributed OLTP and SQL,2013.0,,Open Source,Server: AGPL; Client: Apache V2,no,2013,,Y,N
Vald,270.0,248.0,237.0,Vector,0.4,-0.20,-0.46,https://db-engines.com/en/system/Vald,,,Vald is a distributed vector DBMS.,,,Open Source,Apache-2.0 license,no,,,Y,N
ModeShape,271.0,277.0,250.0,Content,0.39,+0.02,-0.40,https://db-engines.com/en/system/ModeShape,,,,2010.0,,Open Source,Apache Version 2,no,2010,,Y,N
Alibaba Cloud Log Service,272.0,263.0,303.0,Search engine,0.37,-0.10,-0.05,https://db-engines.com/en/system/Alibaba+Cloud+Log+Service,,AlibabaCloud Inc.,"A complete real-time data logging service that supports collection, consumption, shipping, search, and analysis of logs.",2016.0,,commercial,,yes,2016,,N,Y
Apache Pinot,273.0,275.0,248.0,Relational,0.37,-0.01,-0.43,https://db-engines.com/en/system/Apache+Pinot,,Apache Software Foundation and contributors,"Realtime distributed OLAP datastore, designed to answer OLAP queries with low latency",2015.0,"1.0.0, September 2023",Open Source,Apache Version 2.0,no,2015,2023,Y,N
SearchBlox,274.0,285.0,255.0,Search engine,0.37,+0.03,-0.39,https://db-engines.com/en/system/SearchBlox,,,,2003.0,,commercial,,no,2003,,N,N
Project Voldemort,275.0,281.0,295.0,Key-value,0.36,+0.01,-0.12,https://db-engines.com/en/system/Project+Voldemort,,,,2009.0,"1.10.25, July 2017",Open Source,Apache version 2,no,2009,2017,Y,N
InfiniteGraph,276.0,273.0,286.0,Graph,0.36,-0.03,-0.19,https://db-engines.com/en/system/InfiniteGraph,,,,2010.0,,commercial,,no,2010,,N,N
Redland,277.0,293.0,268.0,RDF,0.36,+0.04,-0.33,https://db-engines.com/en/system/Redland,,,A set of free software C libraries that provide support for the Resource Description Framework (RDF),2000.0,,Open Source,"Multi License (LGPL, GPLv2, Apache V2)",no,2000,,Y,N
Apache Sedona,278.0,288.0,,Spatial,0.34,+0.01,,https://db-engines.com/en/system/Apache+Sedona,,Apache Software Foundation and contributors,"Apache Sedona extends,Apache Flink,and Apache Spark with a set of out-of-the-box distributed Spatial Datasets and Spatial SQL that efficiently load, process, and analyze large-scale spatial data across machines.",2020.0,,Open Source,Apache Version 2.0,no,2020,,Y,N
ITTIA,279.0,267.0,265.0,"Time Series, Multi-model",0.34,-0.10,-0.36,https://db-engines.com/en/system/ITTIA,"Time Series DBMS,Relational DBMS",ITTIA L.L.C.,Edge Time Series DBMS with Real-Time Stream Processing,2007.0,8.7,commercial,,no,2007,,N,N
Heroic,280.0,265.0,238.0,Time Series,0.33,-0.13,-0.52,https://db-engines.com/en/system/Heroic,,Spotify,"Time Series DBMS built at Spotify based on Cassandra or,Google Cloud Bigtable,, and,ElasticSearch",2014.0,,Open Source,Apache 2.0,no,2014,,Y,N
Starcounter,281.0,305.0,254.0,Object oriented,0.33,+0.05,-0.43,https://db-engines.com/en/system/Starcounter,,,,2006.0,"2.3.2.930, April 2018",commercial,,no,2006,2018,N,N
PipelineDB,282.0,313.0,306.0,Relational,0.32,+0.08,-0.07,https://db-engines.com/en/system/PipelineDB,,,"A RDBMS that runs SQL queries continuously on streams, incrementally storing results in tables. Built upon,PostgreSQL,.",2015.0,,Open Source,"BSD, GPL V3",no,2015,,Y,N
Comdb2,283.0,290.0,300.0,Relational,0.32,+0.00,-0.13,https://db-engines.com/en/system/Comdb2,,Bloomberg Finance L.P.,"A distributed,RDBMS,designed for geographical replication and high availability. It has been developed by Bloomberg Finance L.P. and is used as their primary DBMS.",2004.0,,Open Source,Apache 2.0,no,2004,,Y,N
YDB,284.0,287.0,281.0,Multi-model,0.32,-0.01,-0.24,https://db-engines.com/en/system/YDB,"Document store,Relational DBMS",Yandex,"A distributed fault-tolerant database service, with high availability, scalability, immediate consistency and ACID transactions and providing an,Amazon DynamoDB,compatible API",2019.0,,Open Source,Apache 2.0; commercial license available,no,2019,,Y,N
Fluree,285.0,291.0,283.0,Graph,0.32,0.00,-0.24,https://db-engines.com/en/system/Fluree,,"Fluree, PBC","A,Graph DBMS,built with blockchain technology",2018.0,,Open Source,open-sourced in October 2020,no,2018,,Y,N
Cloudflare Workers KV,286.0,274.0,308.0,Key-value,0.3,-0.08,-0.09,https://db-engines.com/en/system/Cloudflare+Workers+KV,,Cloudflare,"A global, low-latency,,key-value store,for applications on Cloudflare with exceptionally high read volumes and low-latency.",2018.0,,commercial,,yes,2018,,N,Y
Marqo,287.0,279.0,320.0,Search engine,0.3,-0.06,-0.05,https://db-engines.com/en/system/Marqo,,,"An open source vector-based,search engine",2022.0,,Open Source,Apache Version 2.0,no,2022,,Y,N
Deep Lake,288.0,298.0,284.0,Vector,0.3,-0.01,-0.25,https://db-engines.com/en/system/Deep+Lake,,Activeloop,Deep Lake is a vector DBMS optimized for deep-learning and Large Language Model (LLM) based applications.,,,Open Source,MPL-2.0 license,no,,,Y,N
Elassandra,289.0,299.0,291.0,"Wide column, Multi-model",0.29,-0.01,-0.21,https://db-engines.com/en/system/Elassandra,"Wide column store,Search engine",,"Open source database and search engine for multi-cloud applications based on Cassandra and,Elasticsearch",,,Open Source,Apache Version 2.0,no,,,Y,N
LeanXcale,290.0,280.0,316.0,Multi-model,0.28,-0.08,-0.08,https://db-engines.com/en/system/LeanXcale,"Key-value store,Relational DBMS",LeanXcale,A highly scalable full ACID SQL database with fast NoSQL data ingestion and GIS capabilities,2015.0,,commercial,,no,2015,,N,N
Mimer SQL,291.0,308.0,293.0,Relational,0.28,+0.01,-0.22,https://db-engines.com/en/system/Mimer+SQL,,,,1977.0,"11.0.8D, May 2024",commercial,,no,1977,2024,N,N
Fujitsu Enterprise Postgres,292.0,278.0,345.0,"Relational, Multi-model",0.28,-0.09,+0.04,https://db-engines.com/en/system/Fujitsu+Enterprise+Postgres,"Relational DBMS,Document store,Spatial DBMS","PostgreSQL Global Development Group, Fujitsu Australia Software Technology","Enterprise-grade,PostgreSQL,-based DBMS with security enhancements such as Transparent Data Encryption and Data Masking, plus high-availability and performance improvement features.",,"Fujitsu Enterprise Postgres 14, January 2022",commercial,,no,,2022,N,N
