DBMS,category_label,Multi_model_info,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_Nov-2024,Rank_Nov-2024,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial,Time Series,Vector,Wide column,Columnar,Spatial DBMS,Vector DBMS
Apache Druid,Relational,"Relational DBMS,Time Series DBMS",https://db-engines.com/en/system/Apache+Druid,Y,N,apache/druid,2.7,98,apache,druid,Apache Software Foundation and contributors,2012,2024,Y,Apache license v2,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0
RavenDB,Document,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",https://db-engines.com/en/system/RavenDB,Y,,ravendb/ravendb,2.7,99,ravendb,ravendb,Hibernating Rhinos,2010,2022,Y,"AGPL version 3, commercial license available",N,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.0,0.0
Google Cloud Spanner,Relational,Relational DBMS,https://db-engines.com/en/system/Google+Cloud+Spanner,N,,-,2.7,100,-,-,Google,2017,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
IBM Cloudant,Document,Document store,https://db-engines.com/en/system/IBM+Cloudant,N,,-,2.64,101,-,-,"IBM, Apache Software Foundation",2010,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DolphinDB,Time Series,"Time Series DBMS,Vector DBMS,Relational DBMS",https://db-engines.com/en/system/DolphinDB,N,,-,2.6,102,-,-,"DolphinDB, Inc",2018,2022,N,free community version available,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.0,0.0
GemFire,Key-value,"Key-value store,Document store",https://db-engines.com/en/system/GemFire,N,Y,-,2.56,103,-,-,VMware,2004,2022,N,,N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Adabas,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/Adabas,Y,,jrmarino/AdaBase,2.54,104,jrmarino,AdaBase,Software AG,1971,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
RethinkDB,Document,"Document store,Spatial DBMS",https://db-engines.com/en/system/RethinkDB,Y,,rethinkdb/rethinkdb,2.52,105,rethinkdb,rethinkdb,The Linux Foundation,2009,2020,Y,Apache Version 2,N,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0
SAP IQ,Relational,Relational DBMS,https://db-engines.com/en/system/SAP+IQ,N,,-,2.5,106,-,-,"SAP, formerly Sybase",1994,2019,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
YugabyteDB,Relational,"Relational DBMS,Document store,Wide column store",https://db-engines.com/en/system/YugabyteDB,Y,Y,yugabyte/yugabyte-db,2.36,107,yugabyte,yugabyte-db,Yugabyte Inc.,2017,2023,Y,Apache 2.0,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0
"UniData,UniVerse",Multivalue,Multivalue DBMS,https://db-engines.com/en/system/UniData%2CUniVerse,N,,-,2.35,108,-,-,Rocket Software,1985,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Coveo,Search engine,Search engine,https://db-engines.com/en/system/Coveo,N,,-,2.32,109,-,-,Coveo,2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
TDengine,Time Series,"Time Series DBMS,Relational DBMS",https://db-engines.com/en/system/TDengine,Y,,taosdata/TDengine,2.27,110,taosdata,TDengine,"TDEngine, previously Taos Data",2019,2022,Y,"AGPL V3, also commercial editions available",N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0
LevelDB,Key-value,Key-value store,https://db-engines.com/en/system/LevelDB,Y,,google/leveldb,2.26,111,google,leveldb,Google,2011,2021,Y,BSD,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Infinispan,Key-value,Key-value store,https://db-engines.com/en/system/Infinispan,Y,,infinispan/infinispan,2.22,112,infinispan,infinispan,,2009,2023,Y,Apache Version 2,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Amazon Neptune,Graph,"Graph DBMS,RDF store",https://db-engines.com/en/system/Amazon+Neptune,N,,-,2.17,113,-,-,Amazon,2017,,N,,Y,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
4D,Relational,Relational DBMS,https://db-engines.com/en/system/4D,N,,-,2.13,114,-,-,"4D, Inc",1984,2023,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
MaxDB,Relational,Relational DBMS,https://db-engines.com/en/system/MaxDB,N,,-,2.11,115,-,-,"SAP, acquired from Software AG (Adabas-D) in 1997",1984,2024,N,Limited community edition free,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
PouchDB,Document,Document store,https://db-engines.com/en/system/PouchDB,Y,N,pouchdb/pouchdb,2.08,116,pouchdb,pouchdb,Apache Software Foundation,2012,2019,Y,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Percona Server for MySQL,Relational,Relational DBMS,https://db-engines.com/en/system/Percona+Server+for+MySQL,Y_replacementfor_MySQL,N,percona/percona-server,2.08,117,percona,percona-server,Percona,2008,2024,Y,GPL version 2,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
OceanBase,Relational,"Relational DBMS,Document store,Wide column store",https://db-engines.com/en/system/OceanBase,Y,,oceanbase/oceanbase,2.02,118,oceanbase,oceanbase,OceanBase,2010,2024,Y,Commercial license available,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0
Citus,Relational,"Relational DBMS,Document store",https://db-engines.com/en/system/Citus,Y,,citusdata/citus,1.96,119,citusdata,citus,,2010,2018,Y,"AGPL, commercial license also available",N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Apache Phoenix,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Phoenix,Y,N,apache/phoenix,1.93,120,apache,phoenix,Apache Software Foundation,2014,2019,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Oracle Berkeley DB,Key-value,"Key-value store,Native XML DBMS",https://db-engines.com/en/system/Oracle+Berkeley+DB,Y,,berkeleydb/libdb,1.91,121,berkeleydb,libdb,Oracle,1994,2020,Y,commercial license available,N,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
GridDB,Time Series,"Time Series DBMS,Key-value store,Relational DBMS",https://db-engines.com/en/system/GridDB,Y,,griddb/griddb,1.91,122,griddb,griddb,Toshiba Corporation,2013,2022,Y,"AGPL version 3 and Apache License, version 2.0 , commercial license (standard and advanced editions) also available",N,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0
LMDB,Key-value,Key-value store,https://db-engines.com/en/system/LMDB,Y,,LMDB/lmdb,1.9,123,LMDB,lmdb,Symas,2011,2024,Y,,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Amazon DocumentDB,Document,Document store,https://db-engines.com/en/system/Amazon+DocumentDB,N,,-,1.88,124,-,-,,2019,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Apache Drill,Document,"Document store,Relational DBMS",https://db-engines.com/en/system/Apache+Drill,Y,N,apache/drill,1.84,125,apache,drill,Apache Software Foundation,2012,2023,Y,Apache Version 2,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
CloudKit,Document,Document store,https://db-engines.com/en/system/CloudKit,Y,,jcrosby/cloudkit,1.83,126,jcrosby,cloudkit,,2016,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Chroma,Vector,Vector DBMS,https://db-engines.com/en/system/Chroma,Y,,chroma-core/chroma,1.81,127,chroma-core,chroma,Chroma,,,Y,Apache-2.0 license,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0
Oracle Coherence,Key-value,Key-value store,https://db-engines.com/en/system/Oracle+Coherence,Y_CommunityEdition,,oracle/coherence,1.81,128,oracle,coherence,Oracle,2007,2023,N,,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
NebulaGraph,Graph,Graph DBMS,https://db-engines.com/en/system/NebulaGraph,Y_archivedas_nebula-graph,Y,vesoft-inc/nebula,1.79,129,vesoft-inc,nebula,Vesoft Inc.,2019,,Y,Apache Version 2.0 + Common Clause 1.0,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Stardog,Graph,"Graph DBMS,RDF store",https://db-engines.com/en/system/Stardog,N,,-,1.78,130,-,-,Stardog-Union,2010,2020,N,60-day fully-featured trial license; 1-year fully-featured non-commercial use license for academics/students,N,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
JanusGraph,Graph,Graph DBMS,https://db-engines.com/en/system/JanusGraph,Y,,JanusGraph/janusgraph,1.78,131,JanusGraph,janusgraph,"Linux Foundation; originally developed as,Titan,by Aurelius",2017,2023,Y,Apache 2.0,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Qdrant,Vector,Vector DBMS,https://db-engines.com/en/system/Qdrant,Y,,qdrant/qdrant,1.77,132,qdrant,qdrant,Qdrant,2021,,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0
Amazon CloudSearch,Search engine,Search engine,https://db-engines.com/en/system/Amazon+CloudSearch,N,,-,1.74,133,-,-,Amazon,2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
Amazon SimpleDB,Key-value,Key-value store,https://db-engines.com/en/system/Amazon+SimpleDB,N,,-,1.74,134,-,-,Amazon,2007,,N,,Y,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
EDB Postgres,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/EDB+Postgres,N,,-,1.71,135,-,-,EnterpriseDB,2005,2021,N,BSD for PostgreSQL-components,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
RRDtool,Time Series,Time Series DBMS,https://db-engines.com/en/system/RRDtool,Y,,oetiker/rrdtool-1.x,1.7,136,oetiker,rrdtool-1.x,Tobias Oetiker,1999,2022,Y,GPL V2 and FLOSS,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
MonetDB,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/MonetDB,Y,,MonetDB/MonetDB,1.64,137,MonetDB,MonetDB,MonetDB BV,2004,2023,Y,Mozilla Public License 2.0,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
EXASOL,Relational,Relational DBMS,https://db-engines.com/en/system/EXASOL,N,,-,1.62,138,-,-,Exasol,2000,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Empress,Relational,Relational DBMS,https://db-engines.com/en/system/Empress,N,,-,1.53,139,-,-,,1981,2010,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
BaseX,Native XML,Native XML DBMS,https://db-engines.com/en/system/BaseX,Y,,BaseXdb/basex,1.52,140,BaseXdb,basex,BaseX GmbH,2007,2024,Y,BSD license,N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
OpenTSDB,Time Series,Time Series DBMS,https://db-engines.com/en/system/OpenTSDB,Y,,OpenTSDB/opentsdb,1.51,141,OpenTSDB,opentsdb,currently maintained by Yahoo and other contributors,2011,,Y,LGPL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
IMS,Navigational,Navigational DBMS,https://db-engines.com/en/system/IMS,N,,-,1.51,142,-,-,IBM,1966,2017,N,,N,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Tarantool,Document,"Document store,Key-value store,Relational DBMS,Spatial DBMS",https://db-engines.com/en/system/Tarantool,Y,,tarantool/tarantool,1.5,143,tarantool,tarantool,VK,2008,2022,Y,"BSD-2, source-available extensions (modules), commercial licenses for Tarantool Enterprise",N,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
SpatiaLite,Spatial,"Spatial DBMS,Relational DBMS",https://db-engines.com/en/system/SpatiaLite,Y,,illarionov/SpatiaLite,1.5,144,illarionov,SpatiaLite,Alessandro Furieri,2008,2020,Y,"MPL 1.1, GPL v2.0 or LGPL v2.1",N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
Datomic,Relational,Relational DBMS,https://db-engines.com/en/system/Datomic,N,,-,1.47,145,-,-,Cognitect,2012,2024,N,limited edition free,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Firebolt,Relational,Relational DBMS,https://db-engines.com/en/system/Firebolt,Y,,firebolt-db/firebolt-python-sdk,1.46,146,firebolt-db,firebolt-python-sdk,Firebolt Analytics Inc.,2020,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Weaviate,Vector,Vector DBMS,https://db-engines.com/en/system/Weaviate,Y,,semi-technologies/weaviate,1.45,147,semi-technologies,weaviate,Weaviate B.V.,2019,2023,Y,commercial license available with Weaviate Enterprise,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0
Fauna,Document,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS",https://db-engines.com/en/system/Fauna,N,,-,1.43,148,-,-,"Fauna, Inc.",2014,,N,,Y,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0
Geode,Key-value,Key-value store,https://db-engines.com/en/system/Geode,Y,,apache/geode,1.42,149,apache,geode,Originally developed by Gemstone. They outsourced the project to Apache in 2015 but still deliver a commercial version as Gemfire.,2002,2017,Y,Apache Version 2; commercial licenses available as Gemfire,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
GridGain,Columnar,"Columnar,Key-value store,Object oriented DBMS,Relational DBMS",https://db-engines.com/en/system/GridGain,Y_CommunityEdition,,gridgain/gridgain,1.42,150,gridgain,gridgain,"GridGain Systems, Inc.",2007,,"commercial, open source",,N,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0.0,0.0
Apache IoTDB,Time Series,Time Series DBMS,https://db-engines.com/en/system/Apache+IoTDB,Y,N,apache/iotdb,1.41,151,apache,iotdb,Apache Software Foundation,2018,2023,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
TigerGraph,Graph,Graph DBMS,https://db-engines.com/en/system/TigerGraph,N,,-,1.4,152,-,-,,2017,,N,,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Tibero,Relational,Relational DBMS,https://db-engines.com/en/system/Tibero,N,,-,1.4,153,-,-,TmaxSoft,2003,2022,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
jBASE,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/jBASE,N,,-,1.39,154,-,-,Rocket Software (formerly Zumasys),1991,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
VoltDB,Relational,Relational DBMS,https://db-engines.com/en/system/VoltDB,Y,Y,VoltDB/voltdb,1.34,155,VoltDB,voltdb,VoltDB Inc.,2010,2022,Y,"AGPL for Community Edition, commercial license for Enterprise, AWS, and Pro Editions",N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
HEAVY.AI,Relational,"Relational DBMS,Spatial DBMS",https://db-engines.com/en/system/HEAVY.AI,Y,Y,heavyai/heavydb,1.34,156,heavyai,heavydb,"HEAVY.AI, Inc.",2016,2022,Y,Apache Version 2; enterprise edition available,N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
Dgraph,Graph,Graph DBMS,https://db-engines.com/en/system/Dgraph,Y,Y,dgraph-io/dgraph,1.34,157,dgraph-io,dgraph,"Dgraph Labs, Inc.",2016,,Y,Apache 2.0,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Actian NoSQL Database,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/Actian+NoSQL+Database,N,,-,1.33,158,-,-,Actian,1988,2017,N,,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
VictoriaMetrics,Time Series,Time Series DBMS,https://db-engines.com/en/system/VictoriaMetrics,Y,,VictoriaMetrics/VictoriaMetrics,1.28,159,VictoriaMetrics,VictoriaMetrics,VictoriaMetrics,2018,2023,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
mSQL,Relational,Relational DBMS,https://db-engines.com/en/system/mSQL,N,,-,1.27,160,-,-,Hughes Technologies,1994,2021,N,free licenses can be provided,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
ObjectStore,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/ObjectStore,N,,-,1.26,161,-,-,Ignite Technologies,1988,2014,N,,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
Db4o,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/Db4o,Y,,iboxdb/db4o-gpl,1.24,162,iboxdb,db4o-gpl,,2001,,Y,commercial license available for existing customers only,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
TimesTen,Relational,Relational DBMS,https://db-engines.com/en/system/TimesTen,N,,-,1.23,163,-,-,Oracle,1998,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
IBM Db2 warehouse,Relational,Relational DBMS,https://db-engines.com/en/system/IBM+Db2+warehouse,N,,-,1.23,164,-,-,IBM,2014,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
D3,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/D3,N,,-,1.23,165,-,-,"Rocket, formerly TigerLogic",1999,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Amazon Timestream,Time Series,Time Series DBMS,https://db-engines.com/en/system/Amazon+Timestream,N,,-,1.22,166,-,-,,2018,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
Mnesia,Document,Document store,https://db-engines.com/en/system/Mnesia,Y,,beardedeagle/mnesiac,1.2,167,beardedeagle,mnesiac,Ericsson,1999,2018,Y,proprietary license,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
LiteDB,Document,Document store,https://db-engines.com/en/system/LiteDB,Y,,mbdavid/LiteDB,1.14,168,mbdavid,LiteDB,Mauricio David,2014,,Y,MIT License,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
GBase,Relational,Relational DBMS,https://db-engines.com/en/system/GBase,N,,-,1.11,169,-,-,"General Data Technology Co., Ltd.",2004,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Apache Kylin,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Kylin,Y,Y,apache/kylin,1.1,170,apache,kylin,"Apache Software Foundation, originally contributed from eBay Inc",2015,2020,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Datameer,Document,Document store,https://db-engines.com/en/system/Datameer,N,,-,1.1,171,-,-,,2009,,N,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Giraph,Graph,Graph DBMS,https://db-engines.com/en/system/Giraph,Y,,apache/giraph,1.1,172,apache,giraph,,2013,2020,Y,Apache Version 2,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
ObjectBox,Object oriented,"Object oriented DBMS,Vector DBMS,Time Series DBMS",https://db-engines.com/en/system/ObjectBox,Y,,objectbox/objectbox-java,1.1,173,objectbox,objectbox-java,ObjectBox Limited,2017,2024,Y,Apache License 2.0,N,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.0,0.0
Meilisearch,Search engine,Search engine,https://db-engines.com/en/system/Meilisearch,Y,,meilisearch/meilisearch,1.1,174,meilisearch,meilisearch,,2020,,Y,MIT License,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
EventStoreDB,Event,Event Store,https://db-engines.com/en/system/EventStoreDB,Y,,EventStore/EventStore,1.07,175,EventStore,EventStore,Event Store Limited,2012,2021,Y,,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
openGauss,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/openGauss,Y,,opengauss-mirror/openGauss-server,1.07,176,opengauss-mirror,openGauss-server,Huawei and openGauss community,2019,2022,Y,,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
HFSQL,Relational,Relational DBMS,https://db-engines.com/en/system/HFSQL,N,,-,1.07,177,-,-,PC Soft,,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
SQLBase,Relational,Relational DBMS,https://db-engines.com/en/system/SQLBase,N,,-,1.05,178,-,-,Open Text,1985,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
DataEase,Relational,Relational DBMS,https://db-engines.com/en/system/DataEase,N,,-,1.02,179,-,-,,1981,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Oracle Rdb,Relational,Relational DBMS,https://db-engines.com/en/system/Oracle+Rdb,N,,-,1.02,180,-,-,"Oracle, originally developed by Digital Equipment Corporation (DEC)",1984,2021,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
SurrealDB,Document,"Document store,Graph DBMS",https://db-engines.com/en/system/SurrealDB,Y,,surrealdb/surrealdb,1.01,181,surrealdb,surrealdb,SurrealDB Ltd,2022,2024,Y,,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Amazon Keyspaces,Wide column,Wide column store,https://db-engines.com/en/system/Amazon+Keyspaces,N,,-,1.0,182,-,-,Amazon,2019,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
PlanetScale,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/PlanetScale,N,,-,1.0,183,-,-,PlanetScale,2020,,N,,Y,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
Apache HAWQ,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+HAWQ,Y,,apache/hawq,0.99,184,apache,hawq,Pivotal Software; Apache,2012,,Y,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Rockset,Document,"Document store,Relational DBMS,Search engine",https://db-engines.com/en/system/Rockset,N,,-,0.99,185,-,-,Rockset,2019,,N,,Y,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0
MatrixOne,Relational,Relational DBMS,https://db-engines.com/en/system/MatrixOne,Y,,matrixorigin/matrixone,0.97,186,matrixorigin,matrixone,,2021,,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
GT.M,Key-value,Key-value store,https://db-engines.com/en/system/GT.M,N,,-,0.95,187,-,-,,1986,2021,N,,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Cubrid,Relational,Relational DBMS,https://db-engines.com/en/system/Cubrid,Y,,CUBRID/cubrid,0.95,188,CUBRID,cubrid,"CUBRID Corporation, CUBRID Foundation",2008,2021,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
eXtremeDB,Relational,"Relational DBMS,Time Series DBMS",https://db-engines.com/en/system/eXtremeDB,N,,-,0.94,189,-,-,McObject,2001,2021,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0
NCache,Key-value,"Key-value store,Document store,Search engine",https://db-engines.com/en/system/NCache,Y,,Alachisoft/NCache,0.94,190,Alachisoft,NCache,Alachisoft,2005,2024,Y,Enterprise Edition available,N,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
Vitess,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/Vitess,Y,,vitessio/vitess,0.94,191,vitessio,vitess,"The Linux Foundation, PlanetScale",2013,2022,Y,"Apache Version 2.0, commercial licenses available",N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
FoundationDB,Document,"Document store,Key-value store,Relational DBMS",https://db-engines.com/en/system/FoundationDB,Y,,apple/foundationdb,0.94,192,apple,foundationdb,FoundationDB,2013,2020,Y,Apache 2.0,N,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
M3DB,Time Series,Time Series DBMS,https://db-engines.com/en/system/M3DB,Y,,m3db/m3,0.94,193,m3db,m3,,,,Y,Apache version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
GigaSpaces,Document,"Document store,Object oriented DBMS,Graph DBMS,Search engine",https://db-engines.com/en/system/GigaSpaces,N_Image_Gigaspaces/docker,Y,-,0.94,194,-,-,Gigaspaces Technologies,2000,2020,Y,Apache Version 2; Commercial licenses available,N,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
NonStop SQL,Relational,Relational DBMS,https://db-engines.com/en/system/NonStop+SQL,N,,-,0.93,195,-,-,"HP, originally by Tandem",1987,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
TDSQL for MySQL,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/TDSQL+for+MySQL,N,,-,0.91,196,-,-,Tencent,2013,,N,,Y,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
Alibaba Cloud PolarDB,Relational,Relational DBMS,https://db-engines.com/en/system/Alibaba+Cloud+PolarDB,,,,0.9,197,,,Alibaba,,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
Alibaba Cloud AnalyticDB for MySQL,Relational,"Relational DBMS,Document store",https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+MySQL,N,,-,0.9,198,-,-,Alibaba,,,N,,Y,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
